# timestamp,observer_id,node_id,errormessage
1537482613.0003380,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003270,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003365,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003195,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003220,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003095,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003190,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003225,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003245,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003320,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003055,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003190,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003140,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003435,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003110,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003080,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002840,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002525,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002590,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002905,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003035,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002880,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003250,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003150,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003145,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003225,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003240,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003345,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003235,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003255,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003175,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003270,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003245,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003075,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003200,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002995,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003185,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003375,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003295,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003240,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002975,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003020,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003090,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003015,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002925,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002885,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002480,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002505,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002500,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002665,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002770,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002980,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002995,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003065,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003250,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003190,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003080,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003015,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003265,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003110,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003330,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003285,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003300,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003195,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002960,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002975,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003280,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003265,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003170,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003080,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0003150,33,33, Missing tracing events: PinLevels(hex) : 0x0
